surgeon_id,surgeon_name,speciality,subspecialty,preferred_retractor_size,preferred_drill_brand,needs_backup_suction,years_of_experience,hospital_affiliation,procedure,instrument,generation_timestamp
5017,Mr Rodriguez,Orthopaedics,Paediatric,Medium,Zimmer Biomet,True,24,Howard-Gordon,Paediatric Femoral Osteotomy,Small Fragment Set,2026-05-04T21:07:18.242404
5118,Mrs Banks,Orthopaedics,Paediatric,Large,Depuy Synthes,False,22,Newman Group,Paediatric Femoral Osteotomy,Synthes Paediatric Plates,2026-05-04T21:07:18.242404
5697,Miss Goodwin,Orthopaedics,Trauma,Large,Smith & Nephew,True,11,Suarez and Sons,DIPJ/PIPJ Fusion,Hand Set,2026-05-04T21:07:18.242404
6739,Mr Lopez,Orthopaedics,Trauma,Large,Depuy Synthes,True,11,Dalton-Carter,Weil Osteotomy,Tornier Humeral Fracture Set,2026-05-04T21:07:18.242404
3020,Mr Smith,Orthopaedics,Trauma,Extra Large,Smith & Nephew,False,15,Maldonado-Rogers,Femoral Nail Removal,Acumed Acutrak Screw Removal Set,2026-05-04T21:07:18.242404
6739,Mr Lopez,Orthopaedics,Trauma,Large,Depuy Synthes,True,11,Dalton-Carter,Tibial Plateau Fracture Fixation,Hand Set Extras,2026-05-04T21:07:18.242404
7585,Mr King,Orthopaedics,Joints,Large,Zimmer Biomet,True,25,Shields-Hall,Uncemented Hip Replacement,Arthrex Arthroscopy Set,2026-05-04T21:07:18.242404
7585,Mr King,Orthopaedics,Joints,Large,Zimmer Biomet,True,25,Shields-Hall,Uncemented Hip Replacement,Stryker System 6 Retractors,2026-05-04T21:07:18.242404
9418,Mr Bowers,Orthopaedics,Foot and Ankle,Medium,Medtronic,False,24,Alexander-Ellis,Hallux Valgus Correction,Hallux Valgus Set,2026-05-04T21:07:18.242404
8607,Ms Wood,Orthopaedics,Trauma,Extra Large,Stryker,True,5,"Bryant, Payne and Fowler",TMTJ Fusion,AO Synthes Chisel Set,2026-05-04T21:07:18.242404
4360,Miss Maynard,Orthopaedics,Foot and Ankle,Large,Stryker,True,20,"Davis, Jackson and Rodriguez",Lateral Ligament Reconstruction,Lateral Ligament Reconstruction Set,2026-05-04T21:07:18.242404
5152,Mr Andrade,Orthopaedics,Joints,Extra Large,Stryker,True,11,Price Inc,Bipolar Hemiarthroplasty,Arthrex Arthroscopy Set,2026-05-04T21:07:18.242404
4360,Miss Maynard,Orthopaedics,Foot and Ankle,Large,Stryker,True,20,"Davis, Jackson and Rodriguez",Triple Arthrodesis,Achilles Tendon Repair Kit,2026-05-04T21:07:18.242404
7655,Ms Nielsen,Orthopaedics,Paediatric,Large,Arthrex V300,True,13,Miller-Ellis,Blount’s Disease Correction,Small Fragment Set,2026-05-04T21:07:18.242404
6739,Mr Lopez,Orthopaedics,Trauma,Large,Depuy Synthes,True,11,Dalton-Carter,Tibial Plateau Fracture Fixation,Synthes Distal Radius Plate Set,2026-05-04T21:07:18.242404
9374,Miss Gutierrez,Orthopaedics,Trauma,Medium,Arthrex V300,True,7,French and Sons,Distal Radius ORIF,Synthes Distal Radius Plate Set,2026-05-04T21:07:18.242404
