Miss Elena Rostova | Glove: 8.0 | Fixation of fracture of neck of femur using intramedullary nail | Position: Lithotomy position | Anaesthetic: Standard GA | Instruments: [None] | Implants: [Cannulated Screw 4.0mm x 35mm Titanium] | v5 | streamlit
MR. ALEX PATEL | Glove: N/A | MTPJ Fusion | Position: Fracture Table Positioning | Anaesthetic: Standard GA | Instruments: [None] | Implants: [None] | v5 | streamlit
Mr. Kenji Tanaka | Glove: 7.0 | Lumbar Laminectomy | Position: Fracture Table Positioning | Anaesthetic: Standard GA | Instruments: [Spine Decompression Set] | Implants: [None] | v3 | excel
Mr. Marcus Vance | Glove: 8.5 |    Total Knee Replacement   | Position: Lateral decubitus | Anaesthetic: Standard GA | Instruments: [JOURNEY II BCS Knee System, Large Orthopaedic Set] | Implants: [K-Wire 1.6mm x 150mm] | v2 | excel
Mr. Marcus Vance | Glove: 7.0 | ORIF Tibia and Fibula | Position: Supine on standard table | Anaesthetic: Standard GA | Instruments: [None] | Implants: [Cannulated Screw 4.0mm x 35mm Titanium] | v5 | streamlit
mr. james gate | Glove: 6.0 | ORIF Ankle | Position: Prone with Wilson frame | Anaesthetic: Standard GA | Instruments: [None] | Implants: [Bone Cement (40g Low Viscosity)] | v4 | excel
Prof. Claire Dubois | Glove: 8.0 |    Arthroscopic Rotator Cuff Repair + Biceps Tenodesis   | Position: Lateral decubitus | Anaesthetic: Standard GA | Instruments: [Arthrex Cuff repair instruments] | Implants: [None] | v3 | epr
Prof. Claire Dubois | Glove: N/A | Total Hip Replacement (Cemented) | Position: Prone with Wilson frame | Anaesthetic: Standard GA | Instruments: [Smith & Nephew R3 Acetabular System, Large Orthopaedic Set] | Implants: [K-Wire 1.6mm x 150mm] | v3 | streamlit
Mr. Alex Patel | Glove: 7.5 | MTPJ Fusion | Position: Lateral decubitus | Anaesthetic: Standard GA | Instruments: [None] | Implants: [None] | v4 | epr
Prof. Claire Dubois | Glove: N/A |    Reverse Shoulder Replacement   | Position: Supine on standard table | Anaesthetic: Standard GA | Instruments: [Medacta Shoulder System (MSS)] | Implants: [None] | v2 | epr
Mr. James Gate | Glove: N/A |    Reverse Shoulder Replacement   | Position: Lithotomy position | Anaesthetic: Standard GA | Instruments: [Medacta Shoulder System (MSS)] | Implants: [None] | v5 | streamlit
Mr. Alex Patel | Glove: 8.5 | Ankle arthroscopy + Ankle arthroscopic cheilectomy | Position: Beach chair position | Anaesthetic: Standard GA | Instruments: [None] | Implants: [None] | v1 | streamlit
Mr. Alex Patel | Glove: 6.5 | Total Knee Replacement | Position: Lateral decubitus | Anaesthetic: Standard GA | Instruments: [JOURNEY II BCS Knee System, Large Orthopaedic Set] | Implants: [MTPJ Fusion Plate Left] | v2 | excel
Mr. Kenji Tanaka | Glove: 8.0 | Lumbar Laminectomy | Position: Lithotomy position | Anaesthetic: Standard GA | Instruments: [Spine Decompression Set] | Implants: [None] | v5 | streamlit
mr. james gate | Glove: N/A | Total Hip Replacement (Cemented) | Position: Lithotomy position | Anaesthetic: Standard GA | Instruments: [Smith & Nephew R3 Acetabular System, Large Orthopaedic Set] | Implants: [Cortical Screw 3.5mm x 24mm] | v4 | excel
mr. james gate | Glove: 8.0 |    Fixation of fracture of neck of femur using intramedullary nail   | Position: Lateral decubitus | Anaesthetic: Standard GA | Instruments: [None] | Implants: [Cannulated Screw 4.0mm x 35mm Titanium] | v2 | excel
Miss Sarah Jenkins | Glove: 8.5 |    MTPJ Fusion   | Position: Supine on standard table | Anaesthetic: Standard GA | Instruments: [None] | Implants: [None] | v5 | streamlit
Mr. Kenji Tanaka | Glove: 7.0 | ORIF Tibia and Fibula | Position: Fracture Table Positioning | Anaesthetic: Standard GA | Instruments: [None] | Implants: [K-Wire 1.6mm x 150mm] | v2 | streamlit
Mr. David MacLeod | Glove: 8.0 | Arthroscopic Rotator Cuff Repair + Biceps Tenodesis | Position: Lithotomy position | Anaesthetic: Standard GA | Instruments: [Arthrex Cuff repair instruments] | Implants: [None] | v5 | epr
Mr. Kenji Tanaka | Glove: 7.0 | Total Hip Replacement (Cemented) | Position: Lateral decubitus | Anaesthetic: Standard GA | Instruments: [Smith & Nephew R3 Acetabular System, Large Orthopaedic Set] | Implants: [MTPJ Fusion Plate Left] | v4 | excel
