surgeon_id,surgeon_name,surgeon_specialty,surgeon_glove_size,specialty,procedure_code,procedure_name,subspecialty,surgery_type,positioning_description,positioning_equipment,skin_prep_desc,skin_prep_type,operating_theatre_desc,equipment,anaesthetic_mode,anaesthetic_notes,draping,consumables,disposables,instruments,implants,sutures,dressings,special_instructions,free_text_updates,version_num,version_updated_by,version_updated_at,version_change_summary,source_system
SURG_92498,Miss Elena Rostova,Orthopaedics,8.0,Orthopaedics,W24.2 Z58.1,Fixation of fracture of neck of femur using intramedullary nail,Trauma,Open,Lithotomy position,,Betadine aqueous solution,Alcoholic,Laminar Flow Theatre 04,Covidien Valleylab FT10 Energy Platform (Req: True),,Interscalene Brachial Plexus Block + Light Sedation,Total Knee Arthroplasty Drape Pack,"Bone cement mixing bowl kit (x5), Skin staples (35 Wide) (x3)","Size 10 Scalpel blade (x2), Needle counter (20 count) (x2)",,Cannulated Screw 4.0mm x 35mm Titanium,PDS II (Polydioxanone) [Size: 0] (x3),Mepilex Border EM 10cm x 10cm,Do not open implants until the joint surface sizing has been checked with trial components.,,5,Admin_User,2026-05-25T20:51:01.895265,Routine update of instrument tray configurations.,streamlit
SURG_33071,MR. ALEX PATEL,Orthopaedics,,Orthopaedics,W59.3 Z77.4,MTPJ Fusion,Lower Limb,Open,Fracture Table Positioning,,Hydrex pink 0.5% chlorhexidine in alcohol,,Laminar Flow Theatre 04,"Arthrex Synergy UHD4 Imaging Console (Req: True), Zimmer Biomet A.T.S. 4000 Tourniquet (Req: False)",,General Anaesthesia + Laryngeal Mask Airway (LMA),Hand and Foot Aperture Drape Pack,"Suction liner 2L (x4), Bone wax 2.5g (x5)","Sagittal bone saw blade (x1), Needle counter (20 count) (x1), Size 10 Scalpel blade (x1)",,,Monocryl (Poliglecaprone 25) [Size: 3-0] (x4),Inadine iodine-impregnated non-adherent dressing,Surgeon requests infiltration of local anaesthetic at the end of the procedure.,,5,EPR_Sync_Bot,2026-05-25T20:51:01.903122,Routine update of instrument tray configurations.,streamlit
SURG_94645,Mr. Kenji Tanaka,Orthopaedics,7.0,Orthopaedics,V29.1,Lumbar Laminectomy,Spine,Open,Fracture Table Positioning,"Side supports, Arm board, Gel pads",ChloraPrep 2% chlorhexidine gluconate,Aqueous,Laminar Flow Theatre 04,"Jackson Spinal Surgery Table (Req: True), Stryker Neptune 3 Waste Management System (Req: True)",,General Anaesthesia with endotracheal intubation + Muscle Relaxant,Shoulder Split Sheet Pack,"Orthopaedic high-tensile suture (e.g., FiberWire) (x5), Skin staples (35 Wide) (x5)","Arthroscopy fluid collection pouch (x1), Needle counter (20 count) (x2), Diathermy pencil with holster (x2)",Spine Decompression Set (x1),,Vicryl (Polyglactin 910) [Size: 2-0] (x3),Opsite Post-Op visible dressing 20cm x 10cm,Keep tourniquet pressure to a strict maximum of 250 mmHg.,,3,Surg_Tech_Lead,2026-05-25T20:51:01.908737,Routine update of instrument tray configurations.,excel
SURG_66974,Mr. Marcus Vance,Orthopaedics,8.5,Orthopaedics,W401,   Total Knee Replacement  ,Joints,Open,Lateral decubitus,"Side supports, Arm board, Gel pads",ChloraPrep 2% chlorhexidine gluconate,Standard Tinted,Ultra-Clean Air Orthopaedic Suite 01,Cell Saver Autologous Blood Recovery System (Req: True),,General Anaesthesia + Laryngeal Mask Airway (LMA),Total Hip Bilateral U-Drape Pack,"Light handle covers (x2), Surgical marker pen (x3), Diathermy scratch pad (x1)","ChloraPrep 26ml tint applicator (x1), Diathermy pencil with holster (x1)","JOURNEY II BCS Knee System (x7), Large Orthopaedic Set (x1)",K-Wire 1.6mm x 150mm,PDS II (Polydioxanone) [Size: 0] (x1),Inadine iodine-impregnated non-adherent dressing,Keep tounriquet pressure to a strict maximum of 250 mmHg.,,2,Theatre_Manager_Beta,2026-05-25T20:51:01.914905,,excel
SURG_73853,Mr. Marcus Vance,Orthopaedics,7.0,Orthopaedics,W20.1 Z58.2 Z58.3,ORIF Tibia and Fibula,Trauma,Open,Supine on standard table,,ChloraPrep 2% chlorhexidine gluconate,Aqueous,Ultra-Clean Air Orthopaedic Suite 01,Arthroscopy stack system with HD camera (Req: False),,General Anaesthesia + Laryngeal Mask Airway (LMA),Spine Surgical Drape Pack,"Surgical marker pen (x4), Diathermy scratch pad (x5), Light handle covers (x5)","Arthroscopy fluid collection pouch (x2), Syringe 10ml Luer Lock (x2), Sagittal bone saw blade (x2)",,Cannulated Screw 4.0mm x 35mm Titanium,Vicryl (Polyglactin 910) [Size: 2-0] (x2),Inadine iodine-impregnated non-adherent dressing,Keep tourniquet pressure to a strict maximum of 250 mmHg.,,5,Admin_User,2026-05-25T20:51:01.921707,,streamlit
SURG_77815,mr. james gate,Orthopaedics,6.0,Orthopaedics,W25.1 Z58.2 Z58.3,ORIF Ankle,Trauma,Open,Prone with Wilson frame,,ChloraPrep 2% chlorhexidine gluconate,Standard Tinted,Ultra-Clean Air Orthopaedic Suite 01,"Stryker Neptune 3 Waste Management System (Req: False), Midas Rex Spine Shaver / Drill (Req: False)",,Spinal Anaesthesia with 0.5% Heavy Bupivacaine,Universal Extremity Drape Pack,"Skin staples (35 Wide) (x5), Bone wax 2.5g (x1), Diathermy scratch pad (x2)","Diathermy pencil with holster (x1), ChloraPrep 26ml tint applicator (x2), Size 10 Scalpel blade (x1)",,Bone Cement (40g Low Viscosity),PDS II (Polydioxanone) [Size: 0] (x4),Aquacel Ag+ Extra ribbon,If Patient has documented allergy to penicillin. Double check alternative antibiotics.,,4,Admin_User,2026-05-25T20:51:01.927635,Routine update of instrument tray configurations.,excel
SURG_57796,Prof. Claire Dubois,Orthopaedics,8.0,Orthopaedics,T79.1 T64.5 Y76.7,   Arthroscopic Rotator Cuff Repair + Biceps Tenodesis  ,Upper Limb,Arthroscopic,Lateral decubitus,"Side supports, Arm board, Gel pads",DuraPrep IV,,Laminar Flow Theatre 04,Arthroscopy stack system with HD camera (Req: True),,General Anaesthesia with endotracheal intubation + Muscle Relaxant,Spine Surgical Drape Pack,"Diathermy scratch pad (x5), Pulse lavage tubing layout (x3)","Sagittal bone saw blade (x1), Size 10 Scalpel blade (x1)",Arthrex Cuff repair instruments (x1),,PDS II (Polydioxanone) [Size: 0] (x4),Inadine iodine-impregnated non-adherent dressing,If Patient has documented allergy to penicilllin. Double check alternative antibiotics.,,3,Surg_Tech_Lead,2026-05-25T20:51:01.933629,Routine update of instrument tray configurations.,epr
SURG_54493,Prof. Claire Dubois,Orthopaedics,,Orthopaedics,W37.1,Total Hip Replacement (Cemented),Joints,Open,Prone with Wilson frame,,DuraPrep IV,Aqueous,Laminar Flow Theatre 04,Covidien Valleylab FT10 Energy Platform (Req: True),,Target Controlled Infusion (TCI) Propofol Sedation,Shoulder Split Sheet Pack,"Suction liner 2L (x4), Pulse lavage tubing layout (x5), Skin staples (35 Wide) (x4), Surgical marker pen (x5)","Needle counter (20 count) (x2), Arthroscopy fluid collection pouch (x2), ChloraPrep 26ml tint applicator (x1)","Smith & Nephew R3 Acetabular System (x4), Large Orthopaedic Set (x1)",K-Wire 1.6mm x 150mm,Ethilon (Nylon) [Size: 4-0] (x2),Aquacel Ag+ Extra ribbon,Surgeon requests infiltration of local anaesthetic at the end of the procedure.,,3,Surg_Tech_Lead,2026-05-25T20:51:01.939441,,streamlit
SURG_62663,Mr. Alex Patel,Orthopaedics,7.5,Orthopaedics,W593  Z774,MTPJ Fusion,Lower Limb,Open,Lateral decubitus,,Povidone-iodine 10%,Aqueous,Ultra-Clean Air Orthopaedic Suite 01,"Marquet Alphamaquet Orthopaedic Fracture Table (Req: False), Stryker SmartPump Tourniquet System (Req: True)",,General Anaesthesia with endotracheal intubation + Muscle Relaxant,Total Knee Arthroplasty Drape Pack,"Diathermy scratch pad (x3), Pulse lavage tubing layout (x3)","Size 10 Scalpel blade (x2), Sagittal bone saw blade (x2), Diathermy pencil with holster (x2)",,,PDS II (Polydioxanone) [Size: 0] (x3),Steristrips 6mm x 75mm,Do not open implants until the joint surface sizing has been checked with trial components.,,4,Theatre_Manager_Beta,2026-05-25T20:51:01.945822,,epr
SURG_74826,Prof. Claire Dubois,Orthopaedics,,Orthopaedics,O38.1 Y53.4,   Reverse Shoulder Replacement  ,Upper Limb,Open,Supine on standard table,"Side supports, Arm board, Gel pads",Betadine aqueous solution,Standard Tinted,Ultra-Clean Air Orthopaedic Suite 01,"ConMed Linvatec Hall Powered Instruments (Req: True), Bair Hugger Patient Warming Unit (Req: False)",,General Anaesthesia with endotracheal intubation + Muscle Relaxant,Hand and Foot Aperture Drape Pack,"Diathermy scratch pad (x3), Bone cement mixing bowl kit (x3), Surgical marker pen (x2)","ChloraPrep 26ml tint applicator (x2), Arthroscopy fluid collection pouch (x2), Size 10 Scalpel blade (x2)",Medacta Shoulder System (MSS) (x5),,Vicryl (Polyglactin 910) [Size: 2-0] (x1),Mepilex Border EM 10cm x 10cm,Ensure x-ray clearance is arrangedd and image intensifier is draped prior to incision.,,2,EPR_Sync_Bot,2026-05-25T20:51:01.951817,Routine update of instrument tray configurations.,epr
SURG_44667,Mr. James Gate,Orthopaedics,,Orthopaedics,O381  Y534,   Reverse Shoulder Replacement  ,Upper Limb,Open,Lithotomy position,"Side supports, Arm board, Gel pads",Povidone-iodine 10%,Alcoholic,Ultra-Clean Air Orthopaedic Suite 01,Smith & Nephew LENS Surgical Imaging System (Req: True),,Interscalene Brachial Plexus Block + Light Sedation,Total Hip Bilateral U-Drape Pack,"Light handle covers (x3), Orthopaedic high-tensile suture (e.g., FiberWire) (x1), Bone cement mixing bowl kit (x4), Bone wax 2.5g (x4)","Syringe 10ml Luer Lock (x1), Needle counter (20 count) (x1)",Medacta Shoulder System (MSS) (x5),,Prolene (Polypropylene) [Size: 5-0] (x4),Inadine iodine-impregnated non-adherent dressing,If Patient has documented allergy to penicillin. Double check alternative antibioticcs.,,5,Surg_Tech_Lead,2026-05-25T20:51:01.958171,,streamlit
SURG_66645,Mr. Alex Patel,Orthopaedics,8.5,Orthopaedics,W863  Z856,Ankle arthroscopy + Ankle arthroscopic cheilectomy,Lower Limb,Open,Beach chair position,,DuraPrep IV,Alcoholic,Laminar Flow Theatre 04,Stryker SmartPump Tourniquet System (Req: True),,General Anaesthesia with endotracheal intubation + Muscle Relaxant,Hand and Foot Aperture Drape Pack,"Light handle covers (x4), Orthopaedic high-tensile suture (e.g., FiberWire) (x2)","Syringe 10ml Luer Lock (x1), ChloraPrep 26ml tint applicator (x2), Arthroscopy fluid collection pouch (x2)",,,PDS II (Polydioxanone) [Size: 0] (x3),Aquacel Ag+ Extra ribbon,Do not open implants until the joint surface sizing has been checked with trial components.,,1,EPR_Sync_Bot,2026-05-25T20:51:01.963886,,streamlit
SURG_72395,Mr. Alex Patel,Orthopaedics,6.5,Orthopaedics,W40.1,Total Knee Replacement,Joints,Open,Lateral decubitus,"Side supports, Arm board, Gel pads",Betadine aqueous solution,Alcoholic,Laminar Flow Theatre 04,"Stryker SmartPump Tourniquet System (Req: False), Midas Rex Spine Shaver / Drill (Req: True)",,Target Controlled Infusion (TCI) Propofol Sedation,Total Hip Bilateral U-Drape Pack,"Diathermy scratch pad (x1), Bone cement mixing bowl kit (x3)","Size 10 Scalpel blade (x2), Syringe 10ml Luer Lock (x2), Needle counter (20 count) (x2)","JOURNEY II BCS Knee System (x7), Large Orthopaedic Set (x1)",MTPJ Fusion Plate Left,Ethilon (Nylon) [Size: 4-0] (x3),Aquacel Ag+ Extra ribbon,Ensure x-ray clearance is arranged and imgae intensifier is draped prior to incision.,,2,Admin_User,2026-05-25T20:51:01.969932,Routine update of instrument tray configurations.,excel
SURG_72402,Mr. Kenji Tanaka,Orthopaedics,8.0,Orthopaedics,V29.1,Lumbar Laminectomy,Spine,Open,Lithotomy position,,DuraPrep IV,Alcoholic,Laminar Flow Theatre 04,Stryker System 8 Power Tool Kit (Req: False),,Target Controlled Infusion (TCI) Propofol Sedation,Spine Surgical Drape Pack,"Skin staples (35 Wide) (x4), Surgical marker pen (x2)","Arthroscopy fluid collection pouch (x1), Size 10 Scalpel blade (x2), ChloraPrep 26ml tint applicator (x2)",Spine Decompression Set (x1),,Vicryl (Polyglactin 910) [Size: 2-0] (x4),Steristrips 6mm x 75mm,If Patient has documented allergy to penicillin. Double check alternative antibiotics.,,5,Admin_User,2026-05-25T20:51:01.976213,,streamlit
SURG_79884,mr. james gate,Orthopaedics,,Orthopaedics,W37.1,Total Hip Replacement (Cemented),Joints,Open,Lithotomy position,"Side supports, Arm board, Gel pads",ChloraPrep 2% chlorhexidine gluconate,Standard Tinted,Laminar Flow Theatre 04,Smith & Nephew LENS Surgical Imaging System (Req: False),,Spinal Anaesthesia with 0.5% Heavy Bupivacaine,Spine Surgical Drape Pack,"Suction liner 2L (x1), Orthopaedic high-tensile suture (e.g., FiberWire) (x4), Skin staples (35 Wide) (x5)","Diathermy pencil with holster (x1), Needle counter (20 count) (x1), Syringe 10ml Luer Lock (x1)","Smith & Nephew R3 Acetabular System (x4), Large Orthopaedic Set (x1)",Cortical Screw 3.5mm x 24mm,Monocryl (Poliglecaprone 25) [Size: 3-0] (x1),Steristrips 6mm x 75mm,Do not open implants until the joint surfaces izing has been checked with trial components.,,4,Admin_User,2026-05-25T20:51:01.983016,,excel
SURG_96223,mr. james gate,Orthopaedics,8.0,Orthopaedics,W24.2 Z58.1,   Fixation of fracture of neck of femur using intramedullary nail  ,Trauma,Open,Lateral decubitus,"Side supports, Arm board, Gel pads",ChloraPrep 2% chlorhexidine gluconate,Standard Tinted,Laminar Flow Theatre 04,"Smith & Nephew LENS Surgical Imaging System (Req: False), Jackson Spinal Surgery Table (Req: False)",,General Anaesthesia with endotracheal intubation + Muscle Relaxant,Total Knee Arthroplasty Drape Pack,"Bone wax 2.5g (x3), Suction liner 2L (x4), Orthopaedic high-tensile suture (e.g., FiberWire) (x1), Light handle covers (x4)","Arthroscopy fluid collection pouch (x2), Sagittal bone saw blade (x2)",,Cannulated Screw 4.0mm x 35mm Titanium,Monocryl (Poliglecaprone 25) [Size: 3-0] (x2),Inadine iodine-impregnated non-adherent dressing,Keep tourniquet pressure to a strict maximum of 250 mmHg.,,2,EPR_Sync_Bot,2026-05-25T20:51:01.990165,,excel
SURG_88163,Miss Sarah Jenkins,Orthopaedics,8.5,Orthopaedics,W59.3 Z77.4,   MTPJ Fusion  ,Lower Limb,Open,Supine on standard table,"Side supports, Arm board, Gel pads",Betadine aqueous solution,,Laminar Flow Theatre 04,Marquet Alphamaquet Orthopaedic Fracture Table (Req: False),,Spinal Anaesthesia with 0.5% Heavy Bupivacaine,Hand and Foot Aperture Drape Pack,"Light handle covers (x4), Suction liner 2L (x3)","Sagittal bone saw blade (x1), ChloraPrep 26ml tint applicator (x2)",,,Prolene (Polypropylene) [Size: 5-0] (x2),Steristrips 6mm x 75mm,Keep tourniquet pressure to a strict maximum of 250 mmHg.,,5,Theatre_Manager_Beta,2026-05-25T20:51:01.997018,,streamlit
