surgeon_id,surgeon_name,speciality,subspecialty,preferred_retractor_size,preferred_drill_brand,needs_backup_suction,years_of_experience,hospital_affiliation,procedure,instrument,generation_timestamp
,MR HOLDEN,,Foot and Ankle   ,,Smith & Nephew   ,No,N/A,   ,  Arthrodesis ,West self retaining retractor,2026-05-09T14:10:58.789869
UNKNOWN,Ms Marquez,OT   ,Paediazric   ,medium,Zimmer Biomet,TRUE,27,,Shoulder Arzhroscopy,BONE SAW,INVALID_DATE
UNKNOWN,  xr lewis ,Ortho,Paediatric,  XL ,Stryker,True,N/A,NXS TRUST,limb lengthening,Pediatric Drill,2026-05-09T14:10:58.789899
UNKNOWN,MS MANN,orthopaedick,Tryuma,xmall,Arthrex V300,FALSE,,NHS Trust,Hip Replacement,Oscillating Saw,20/04/1996 19:40
UNKNOWN,Miss Graham,Ortho ,Joints,Large,Zimmer Biomet,0,9,,Shoulder Arthroscopy,oscillating saw,2026-05-09T14:10:58.789968
,mr hartman,,SPINE,S,STRYKER,FALSE,,,Total Knee Arthroplasty   ,Bone Rasp   ,2026-05-09T14:10:58.789976
ID-2713,  Miss Gardner ,ORTHOPAEDICS,Spine,Xl,STRYKER,Y,,Private Clinic,  Laminectomy ,Elevator,2026-05-09T14:10:58.789983
6582,Miss Pratt,ORTHOPAEDYCK   ,Paediatric,XL,stryker,0,14,,Clubfoot Correction,Pediatric Drill,2026-05-09T14:10:58.789988
ID-6000,Ms yagner,Ortho,Paedxatric,Smayl,,False,,Lynch-Jones,shoulder arthroscopy   ,Bone Saw,19/09/1986 06:24
,mr Velxsquez,OT,Spine,Extra Large,Medtronic,1,N/A,Private Clinic,Foraminotomy,Curette,2026-05-09T14:10:58.790030
UNKNOWN,  xr lewis ,Ortho,Paediatric,  XL ,Stryker,True,N/A,NXS TRUST,Scoliosis Surgery,Growth Rod,2026-05-09T14:10:58.790039
6582,Miss Pratt,ORTHOPAEDYCK   ,Paediatric,XL,stryker,0,14,,Limb Lengthenizg,Pediatric Drill,2026-05-09T14:10:58.790052
,MR HOLDEN,,Foot and Ankle   ,,Smith & Nephew   ,No,N/A,   ,Ankle Reconstruction   ,screw driver,2026-05-09T14:10:58.790059
4598,Ms Mccullzugh,  Ortho ,Foot and Ankle,Extra Large,ARTHREX V300,true,N/A,Mcintyre-Thomas,azkle reconstruction,screw driver,2026-05-09T14:10:58.790067
,MR HOLDEN,,Foot and Ankle   ,,Smith & Nephew   ,No,N/A,   ,Flatfoot Correction,myllet,2026-05-09T14:10:58.790089
4673,Dx Smith   ,Ortho   ,SPINE,Small,stryker   ,1,,Private Clinic,Hip Replzcement,BONE CEMENT GZN,10/08/1971 09:05
ID-6000,Ms yagner,Ortho,Paedxatric,Smayl,,False,,Lynch-Jones,Total Hip Arthroplasty,JointxRetractor,
UNKNOWN,Miss Graham,Ortho ,Joints,Large,Zimmer Biomet,0,9,,limb lengthening,Pediatric Drill,2026-05-09T14:10:58.790147
6967,MRS zurphy,Ortho   ,Trauma   ,extra large,Medtronic,No,,NHS Trust   ,  JOINT REPLACEMENT ,External Fixztor,2026-05-09T14:10:58.790157
,Miss Weaver,orthopaedick,Spine,Small,Smith & xephew,Y,,Perez Group,Foraminotomy,Curztte,16/12/1971 07:51
,mr hartman,,SPINE,S,STRYKER,FALSE,,,GROWTH PLATY SURGERY,External Fixator,INVALID_DATE
,mr Mozeno,Ot,Joints,Extra Large,  yrthrex V300 ,Y,,,  Hip Replacement ,Bone Saw,19/01/1988 17:29
ID-4929,yr Gutierrez,OT,Joints,Medium,SMITH & NEPHEW,N,19,,Open Reduction Internal Fixation,Bone Plate,2026-05-09T14:10:58.790231
ID-4929,yr Gutierrez,OT,Joints,Medium,SMITH & NEPHEW,N,19,,Shoulder Artyroscopy,Bone Rasp,08/04/1993 18:22
6967,MRS zurphy,Ortho   ,Trauma   ,extra large,Medtronic,No,,NHS Trust   ,Open Reduction Internax Fixation,Bone Plate,2026-05-09T14:10:58.790265
